id,filename,title,venue,year,arxiv,official_or_doi,code,reproducibility,researchability,topic
11,02-gnn-architecture-theory/11_IGNN_Homophily_NeurIPS2025.pdf,Making Classic GNNs Strong Baselines Across Varying Homophily,NeurIPS,2025,https://arxiv.org/abs/2412.09805,https://proceedings.neurips.cc/paper_files/paper/2025/file/4913941ed905b81b47d642e05494e648-Paper-Conference.pdf,https://github.com/galogm/IGNN,高,很高,homophily
12,02-gnn-architecture-theory/12_STEM-GNN_KDD2026.pdf,Generalizing GNNs with Tokenized Mixture of Experts,KDD,2026,https://arxiv.org/abs/2602.09258,https://doi.org/10.1145/3770855.3817952,https://github.com/GXG-CS/STEM-GNN,高,高,MoE / robustness
13,02-gnn-architecture-theory/13_MAVN_KDD2026.pdf,Learn When and Where to Connect: Adaptive Virtual Nodes for Dynamic Message Passing on Graphs,KDD,2026,https://arxiv.org/abs/2606.03068,https://doi.org/10.1145/3770855.3818013,https://github.com/bdi-lab/MAVN,高,高,virtual nodes
14,03-scalable-bigdata-gnn/14_Plexus_SC2025.pdf,Plexus: Taming Billion-edge Graphs with 3D Parallel Full-graph GNN Training,SC,2025,https://arxiv.org/abs/2505.04083,https://doi.org/10.1145/3712285.3759890,https://github.com/hpcgroup/plexus,中,很高,distributed full-graph
15,03-scalable-bigdata-gnn/15_ScaleGNN_WWW2026.pdf,ScaleGNN: Towards Scalable Graph Neural Networks via Adaptive High-order Neighboring Feature Fusion,WWW,2026,https://arxiv.org/abs/2504.15920,https://doi.org/10.1145/3774904.3792347,https://github.com/lx970414/ScaleGNN,中高,高,scalable algorithm
16,03-scalable-bigdata-gnn/16_IOAware_GNN_ICML2026.pdf,On Efficient Scaling of GNNs via IO-Aware Layers Implementations,ICML Spotlight,2026,https://arxiv.org/abs/2605.31500,https://research.yandex.com/blog/on-efficient-scaling-of-gnns-via-io-aware-layer-implementations,https://github.com/yandex-research/On-Efficient-Scaling-Of-GNNs,中高,很高,GPU kernels
17,03-scalable-bigdata-gnn/17_4DHybridParallel_MiniBatchGNN_arXiv.pdf,Communication-free Sampling and 4D Hybrid Parallelism for Scalable Mini-batch GNN Training,arXiv,2026,https://arxiv.org/abs/2604.02651,https://arxiv.org/pdf/2604.02651,论文声称开源但未给独立URL,中低,高,distributed mini-batch
18,04-graphrag-llm/18_GraphRAG-R1_WWW2026.pdf,GraphRAG-R1: Graph Retrieval-Augmented Generation with Process-Constrained Reinforcement Learning,WWW,2026,https://arxiv.org/abs/2507.23581,https://doi.org/10.1145/3774904.3792589,https://github.com/ycygit/GraphRAG-R1,中,很高,GraphRAG / RL
19,04-graphrag-llm/19_Graph-R1_Agentic_arXiv.pdf,Graph-R1: Towards Agentic GraphRAG Framework via End-to-end Reinforcement Learning,arXiv,2025,https://arxiv.org/abs/2507.21892,https://arxiv.org/pdf/2507.21892,https://github.com/LHRLAB/Graph-R1,中,很高,agentic GraphRAG
20,04-graphrag-llm/20_MemGraphRAG_KDD2026.pdf,MemGraphRAG: Memory-based Multi-Agent System for Graph Retrieval-Augmented Generation,KDD,2026,https://arxiv.org/abs/2606.00610,https://doi.org/10.1145/3770855.3818074,https://github.com/XMUDeepLIT/MemGraphRAG,中高,高,multi-agent GraphRAG
21,04-graphrag-llm/21_GraphRAG-Router_arXiv.pdf,GraphRAG-Router: Learning Cost-Efficient Routing over GraphRAGs and LLMs with Reinforcement Learning,arXiv,2026,https://arxiv.org/abs/2604.16401,https://arxiv.org/pdf/2604.16401,未见独立仓库(基于Search-o1/verl),中低,高,routing / cost
22,04-graphrag-llm/22_CoreGraphRAG_KDD2026.pdf,Core-based Hierarchies for Efficient GraphRAG,KDD,2026,https://arxiv.org/abs/2603.05207,https://doi.org/10.1145/3770855.3818007,https://github.com/erdemUB/KDD26,中高,很高,graph mining / GraphRAG
23,05-data-mining-security/23_GraphRP_KDD2026.pdf,Defending against Model Extraction for GNNs with Model Reprogramming,KDD,2026,https://arxiv.org/abs/2608.11495,https://doi.org/10.1145/3770855.3817983,https://github.com/overwenyan/GraphRP-KDD2026,高,高,GNN security
24,06-cvpr-vision-graph/24_Robo-SGG_CVPR2026.pdf,Robo-SGG: Layout-Oriented Normalization for Robust Scene Graph Generation,CVPR CCF-A,2026,https://arxiv.org/abs/2504.12606,https://openaccess.thecvf.com/content/CVPR2026/html/Lv_Robo-SGG_Exploiting_Layout-Oriented_Normalization_and_Restitution_Can_Improve_Robust_Scene_CVPR_2026_paper.html,https://github.com/MICLAB-BUPT/Robo-SGG,中高,高,scene graph / CVPR
25,06-cvpr-vision-graph/25_FunFact_CVPR2026.pdf,FunFact: Probabilistic Functional 3D Scene Graphs via Factor-Graph Reasoning,CVPR CCF-A,2026,,https://openaccess.thecvf.com/content/CVPR2026/papers/Fu_FunFact_Building_Probabilistic_Functional_3D_Scene_Graphs_via_Factor-Graph_Reasoning_CVPR_2026_paper.pdf,https://funfact-scenegraph.github.io/,中,高,3D functional scene graph
26,06-cvpr-vision-graph/26_GraPHFormer_CVPR2026.pdf,GraPHFormer: Multimodal Graph Persistent Homology Transformer for Neuroscience Morphologies,CVPR CCF-A,2026,,https://openaccess.thecvf.com/content/CVPR2026/papers/Shah_GraPHFormer_A_Multimodal_Graph_Persistent_Homology_Transformer_for_the_Analysis_CVPR_2026_paper.pdf,未见独立仓库,中低,中高,graph transformer / morphology
27,07-ccf-aaai-ijcai-sigir/27_HyperSheaflets_AAAI2026.pdf,High-Pass Matters: Sheaflet-Based Design for Hypergraph Neural Networks,AAAI CCF-A Outstanding,2026,,https://doi.org/10.1609/aaai.v40i27.39469,附录公开未见独立仓库,中,很高,hypergraph / sheaf
28,07-ccf-aaai-ijcai-sigir/28_HyperNoRA_AAAI2026.pdf,HyperNoRA: Node-Level Relation-Aware Self-Supervised Hypergraph Learning,AAAI CCF-A,2026,,https://doi.org/10.1609/aaai.v40i27.39470,未见独立仓库,中,高,hyperedge prediction
29,07-ccf-aaai-ijcai-sigir/29_SGPC_AAAI2026_official.pdf,Sheaf Graph Neural Networks via PAC-Bayes Spectral Optimization,AAAI CCF-A,2026,https://arxiv.org/abs/2508.00357,https://doi.org/10.1609/aaai.v40i25.39193,https://github.com/ChoiYoonHyuk/SGPC,高,很高,sheaf GNN
30,07-ccf-aaai-ijcai-sigir/30_Quest-GNN_SIGIR2026.pdf,Question-Adaptive Graph Learning for Multi-hop Retrieval Augmented Generation,SIGIR CCF-A,2026,https://arxiv.org/abs/2510.11541,https://doi.org/10.1145/3805712.3809693,https://github.com/Jerry2398/QSGNN,中高,很高,GNN retrieval / SIGIR
31,08-ccf-journals/31_PUMA_TKDE2025.pdf,PUMA: Efficient Continual Graph Learning with Graph Condensation,TKDE CCF-A,2025,https://arxiv.org/abs/2312.14439,https://doi.org/10.1109/tkde.2024.3485691,https://github.com/superallen13/PUMA,高,很高,continual graph learning
32,08-ccf-journals/32_GraphCondensation_Survey_TKDE2025.pdf,Graph Condensation: A Survey,TKDE CCF-A,2025,https://arxiv.org/abs/2401.11720,IEEE TKDE 2025,https://github.com/XYGaoG/Graph-Condensation-Papers,高,很高,survey / condensation
33,08-ccf-journals/33_HeterophilyGNN_Survey_TKDE2026.pdf,Graph Neural Networks for Graphs with Heterophily: A Survey,TKDE CCF-A,2026,https://arxiv.org/abs/2202.07082,IEEE TKDE 38(7),综述(各方法仓库见正文),高,很高,heterophily survey
34,07-ccf-aaai-ijcai-sigir/34_Oversmoothing_Entropy_IJCAI2025.pdf,Exploring Over-smoothing of GNNs for Graph Classification: An Entropy-based Viewpoint,IJCAI CCF-A,2025,,https://www.ijcai.org/proceedings/2025/0360.pdf,https://github.com/Sophia0830BNU/SDE,高,高,oversmoothing
35,08-ccf-journals/35_DeepGCN_Stability_TPAMI2026.pdf,Deeper Insights into Deep Graph Convolutional Networks: Stability and Generalization,TPAMI CCF-A,2026,https://arxiv.org/abs/2410.08473,https://doi.org/10.1109/TPAMI.2025.3616350,理论文无独立仓库,中,很高,GCN theory
36,09-db-systems-sigmod-vldb-icde/36_NeutronTP_VLDB2025.pdf,NeutronTP: Load-Balanced Distributed Full-Graph GNN Training with Tensor Parallelism,VLDB CCF-A,2025,https://arxiv.org/abs/2412.20379,https://www.vldb.org/pvldb/vol18/p173-ai.pdf,https://github.com/AiX-im/NeutronTP,中,很高,distributed full-graph / tensor parallel
37,09-db-systems-sigmod-vldb-icde/37_NeutronTask_VLDB2025.pdf,NeutronTask: Scalable and Efficient Multi-GPU GNN Training with Task Parallelism,VLDB CCF-A,2025,,https://doi.org/10.14778/3725688.3725700,https://github.com/iDC-NEU/NeutronTask,中高,高,multi-GPU / task parallel
38,09-db-systems-sigmod-vldb-icde/38_NeutronCloud_VLDB2026.pdf,NeutronCloud: Resource-Aware Distributed GNN Training in Fluctuating Cloud Environments,VLDB CCF-A,2026,,https://doi.org/10.14778/3772181.3772186,https://github.com/Toaoc/NeutronCloud,中,很高,cloud / elastic GNN
39,09-db-systems-sigmod-vldb-icde/39_Hyperion_ICDE2025.pdf,Hyperion: Optimizing SSD Access is All You Need to Enable Cost-efficient Out-of-core GNN Training,ICDE CCF-A,2025,,https://wangzeke.github.io/doc/Hyperion-ICDE25.pdf,https://github.com/RC4ML/Hyperion,中,很高,out-of-core / SSD
40,10-wsdm/40_GCTD_WSDM2026.pdf,Multi-view Graph Condensation via Tensor Decomposition,WSDM CCF-B,2026,https://arxiv.org/abs/2508.14330,https://doi.org/10.1145/3773966.3777968,https://github.com/nicolasrsantos/gctd,高,很高,graph condensation
41,10-wsdm/41_UnlearningInversion_WSDM2026.pdf,Unlearning Inversion Attacks for Graph Neural Networks,WSDM CCF-B,2026,https://arxiv.org/abs/2506.00808,https://doi.org/10.1145/3773966.3777929,https://github.com/QwQ2000/WSDM26-Graph-Unlearning-Inversion,高,高,GNN unlearning / privacy
42,10-wsdm/42_DesiGNN_WSDM2026.pdf,Proficient Graph Neural Network Design by Accumulating Knowledge on Large Language Models,WSDM CCF-B,2026,https://arxiv.org/abs/2408.06717,https://doi.org/10.1145/3773966.3777982,https://github.com/jilwang84/DesiGNN,中高,高,AutoGNN / LLM
43,11-journals-tnnls-jmlr/43_ScaDyG_TNNLS2026.pdf,ScaDyG: A New Paradigm for Large-Scale Dynamic Graph Learning,TNNLS CCF-B,2026,https://arxiv.org/abs/2501.16002,https://doi.org/10.1109/TNNLS.2025.3650673,https://github.com/BITNEO/ScaDyG,中高,很高,dynamic graph / scalable
44,11-journals-tnnls-jmlr/44_LabelingTrick_JMLR2025.pdf,Improving Graph Neural Networks on Multi-node Tasks with the Labeling Trick,JMLR CCF-A,2025,,https://www.jmlr.org/papers/volume26/23-0560/23-0560.pdf,https://github.com/GraphPKU/LabelingTrick,高,很高,link prediction / expressivity
45,11-journals-tnnls-jmlr/45_ImplicitUnfoldedGNN_JMLR2025.pdf,Implicit vs Unfolded Graph Neural Networks,JMLR CCF-A,2025,https://arxiv.org/abs/2111.06592,https://www.jmlr.org/papers/volume26/22-0459/22-0459.pdf,https://github.com/SwiftieH/IGNN (相关实现),中,很高,implicit GNN / theory
46,11-journals-tnnls-jmlr/46_EquivariantOrthogonal_JMLR2025.pdf,Orthogonal Bases for Equivariant Graph Learning with Provable k-WL Expressive Power,JMLR CCF-A,2025,,https://jmlr.org/papers/volume26/23-0178/23-0178.pdf,未见独立仓库,中低,高,equivariance / k-WL
